iter	Passed	Remaining
1534	8654	19535
1535	8659	19528
1536	8662	19518
1537	8669	19514
1538	8676	19512
1539	8680	19503
1540	8685	19495
1541	8692	19494
1542	8700	19492
1543	8706	19489
1544	8710	19478
1545	8714	19469
1546	8719	19461
1547	8727	19462
1548	8733	19456
1549	8739	19452
1550	8744	19444
1551	8749	19438
1552	8755	19432
1553	8761	19429
1554	8765	19419
1555	8773	19419
1556	8781	19417
1557	8786	19410
1558	8792	19405
1559	8799	19404
1560	8803	19394
1561	8809	19390
1562	8816	19388
1563	8820	19376
1564	8826	19372
1565	8834	19371
1566	8839	19366
1567	8846	19362
1568	8864	19385
1569	8874	19389
1570	8880	19382
1571	8886	19379
1572	8891	19372
1573	8896	19363
1574	8901	19357
1575	8907	19352
1576	8912	19345
1577	8918	19340
1578	8924	19335
1579	8928	19326
1580	8934	19321
1581	8942	19319
1582	8947	19313
1583	8951	19304
1584	8956	19297
1585	8960	19287
1586	8967	19285
1587	8972	19279
1588	8979	19275
1589	8985	19270
1590	8990	19264
1591	9002	19270
1592	9006	19262
1593	9011	19255
1594	9016	19248
1595	9022	19244
1596	9028	19237
1597	9033	19231
1598	9037	19222
1599	9043	19216
1600	9047	19208
1601	9057	19211
1602	9062	19203
1603	9065	19193
1604	9074	19196
1605	9079	19187
1606	9084	19179
1607	9087	19169
1608	9091	19160
1609	9101	19164
1610	9105	19154
1611	9109	19146
1612	9114	19137
1613	9120	19133
1614	9131	19138
1615	9141	19143
1616	9146	19135
1617	9156	19139
1618	9165	19139
1619	9170	19133
1620	9174	19124
1621	9180	19120
1622	9184	19110
1623	9188	19101
1624	9196	19099
1625	9200	19091
1626	9205	19085
1627	9211	19079
1628	9215	19070
1629	9221	19064
1630	9229	19064
1631	9239	19066
1632	9258	19090
1633	9266	19088
1634	9273	19084
1635	9276	19074
1636	9281	19068
1637	9285	19058
1638	9288	19047
1639	9296	19045
1640	9302	19041
1641	9309	19039
1642	9313	19028
1643	9317	19020
1644	9321	19012
1645	9331	19014
1646	9335	19005
1647	9338	18995
1648	9344	18989
1649	9357	18997
1650	9363	18992
1651	9370	18991
1652	9375	18982
1653	9384	18984
1654	9388	18974
1655	9400	18981
1656	9409	18984
1657	9412	18973
1658	9417	18964
1659	9422	18959
1660	9426	18949
1661	9429	18939
1662	9433	18929
1663	9439	18924
1664	9444	18916
1665	9450	18913
1666	9455	18905
1667	9460	18897
1668	9463	18887
1669	9472	18888
1670	9478	18883
1671	9482	18875
1672	9489	18871
1673	9493	18861
1674	9498	18855
1675	9504	18850
1676	9508	18840
1677	9520	18847
1678	9526	18842
1679	9529	18832
1680	9533	18824
1681	9541	18821
1682	9544	18811
1683	9554	18814
1684	9558	18805
