iter	RMSE
557	43750.64567
558	43744.84667
559	43739.25749
560	43736.37891
561	43731.11654
562	43727.36406
563	43722.15526
564	43714.56746
565	43705.8579
566	43695.3628
567	43690.54054
568	43683.39113
569	43679.07564
570	43666.73005
571	43662.12185
572	43657.29478
573	43654.76716
574	43650.7088
575	43633.84716
576	43626.23769
577	43617.34227
578	43605.08458
579	43596.00622
580	43583.67672
581	43581.96138
582	43576.69369
583	43571.18356
584	43557.25734
585	43553.43149
586	43551.37422
587	43547.42507
588	43544.92997
589	43542.49633
590	43536.78451
591	43532.8698
592	43527.35201
593	43518.57268
594	43511.19291
595	43507.49885
596	43496.64986
597	43493.85458
598	43491.02649
599	43489.64099
600	43478.73375
601	43475.948
602	43474.54399
603	43468.73166
604	43465.55949
605	43461.31916
606	43449.8623
607	43446.51365
608	43443.51656
609	43442.28516
610	43439.07985
611	43427.05645
612	43421.62738
613	43411.60884
614	43410.78121
615	43408.94985
616	43400.7147
617	43393.1922
618	43389.66491
619	43385.1989
620	43379.83478
621	43376.51571
622	43366.8738
623	43361.92753
624	43359.60292
625	43357.38106
626	43356.30709
627	43353.03077
628	43350.70403
629	43347.55018
630	43335.9342
631	43334.49477
632	43330.60497
633	43325.3633
634	43320.18082
635	43317.81859
636	43315.58925
637	43312.13796
638	43308.79713
639	43299.73781
640	43293.23506
641	43286.25023
642	43282.86652
643	43278.66298
644	43277.81643
645	43274.28813
646	43266.60086
647	43260.85131
648	43256.66745
649	43245.40109
650	43235.66811
651	43232.39823
652	43209.13722
653	43198.11021
654	43193.24102
655	43188.96794
656	43187.91834
657	43182.4961
658	43178.79625
659	43172.17728
660	43168.20307
661	43157.2072
662	43151.37642
663	43148.35149
664	43145.50689
665	43140.67829
666	43137.70979
667	43136.50313
668	43125.99302
669	43118.7251
670	43116.44098
671	43110.43823
672	43109.47451
673	43100.46348
674	43095.63579
675	43088.23219
676	43081.50359
677	43077.75448
678	43072.00356
679	43067.39999
680	43064.69939
681	43060.50037
682	43055.80473
683	43054.85347
684	43054.62463
685	43050.26609
686	43047.74278
687	43044.50235
688	43042.04367
689	43032.55173
690	43025.8134
691	43014.98073
